+ 0.250000000000000 U1_bjck E_IA C(I∈o, A∈v, b∈v, j∈o, c∈v, k∈o)
+ 0.250000000000000 δ_Ac U1_bjAI E_kA C(I∈o, A∈v, b∈v, j∈o, c∈v, k∈o)
+ 0.250000000000000 δ_Ab U1_cIAj E_kA C(I∈o, A∈v, b∈v, j∈o, c∈v, k∈o)
+ 0.250000000000000 δ_Ik δ_Ac U1_AIbj E_IA C(I∈o, A∈v, b∈v, j∈o, c∈v, k∈o)
- 0.500000000000000 δ_Ij δ_Ac U1_AIbk E_IA C(I∈o, A∈v, b∈v, j∈o, c∈v, k∈o)
- 0.500000000000000 δ_Ik δ_Ab U1_AIcj E_IA C(I∈o, A∈v, b∈v, j∈o, c∈v, k∈o)
+ 0.250000000000000 δ_Ij δ_Ab U1_AIck E_IA C(I∈o, A∈v, b∈v, j∈o, c∈v, k∈o)
+ 0.250000000000000 δ_Ij δ_Ac U1_bIAk E_IA C(I∈o, A∈v, b∈v, j∈o, c∈v, k∈o)
+ 0.250000000000000 δ_Ik δ_Ac U1_bjAI E_IA C(I∈o, A∈v, b∈v, j∈o, c∈v, k∈o)
+ 0.250000000000000 δ_Ik δ_Ab U1_cIAj E_IA C(I∈o, A∈v, b∈v, j∈o, c∈v, k∈o)
+ 0.250000000000000 δ_Ij δ_Ab U1_ckAI E_IA C(I∈o, A∈v, b∈v, j∈o, c∈v, k∈o)
+ 0.250000000000000 δ_Ik U2_AIcj E_Ib C(I∈o, A∈v, b∈v, j∈o, c∈v, k∈o)
+ 0.250000000000000 δ_Ik U2_AjcI E_Ib C(I∈o, A∈v, b∈v, j∈o, c∈v, k∈o)
+ 0.250000000000000 δ_Ij U2_AIbk E_Ic C(I∈o, A∈v, b∈v, j∈o, c∈v, k∈o)
+ 0.250000000000000 δ_Ij U2_AkbI E_Ic C(I∈o, A∈v, b∈v, j∈o, c∈v, k∈o)
- 0.250000000000000 V1_Ajck E_Ib C(I∈o, A∈v, b∈v, j∈o, c∈v, k∈o)
- 0.250000000000000 V1_Ajbk E_Ic C(I∈o, A∈v, b∈v, j∈o, c∈v, k∈o)
- 0.250000000000000 V1_bIck E_jA C(I∈o, A∈v, b∈v, j∈o, c∈v, k∈o)
+ 0.500000000000000 V1_AIck E_jb C(I∈o, A∈v, b∈v, j∈o, c∈v, k∈o)
- 0.250000000000000 V1_AIbk E_jc C(I∈o, A∈v, b∈v, j∈o, c∈v, k∈o)
- 0.250000000000000 V1_cIbj E_kA C(I∈o, A∈v, b∈v, j∈o, c∈v, k∈o)
- 0.250000000000000 V1_AIcj E_kb C(I∈o, A∈v, b∈v, j∈o, c∈v, k∈o)
+ 0.500000000000000 V1_AIbj E_kc C(I∈o, A∈v, b∈v, j∈o, c∈v, k∈o)
- 0.250000000000000 δ_Ij V1_AIck E_Ib C(I∈o, A∈v, b∈v, j∈o, c∈v, k∈o)
- 0.250000000000000 δ_Ik V1_AIbj E_Ic C(I∈o, A∈v, b∈v, j∈o, c∈v, k∈o)
- 0.250000000000000 δ_Ab V1_AIck E_jA C(I∈o, A∈v, b∈v, j∈o, c∈v, k∈o)
- 0.250000000000000 δ_Ac V1_AIbj E_kA C(I∈o, A∈v, b∈v, j∈o, c∈v, k∈o)
